Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
lib/actors/README.md,73,571,3754,1,5,0,0,0,0,158,1,0,0,0,6,0,1,0,4,18,0,26,0,29,0,0,0,0,73,0,0,0,0,0,0.0
lib/ai/README.md,15,35,340,0,0,0,0,0,0,29,1,0,0,0,0,0,2,0,4,8,0,1,0,5,0,0,0,0,8,0,0,0,0,0,0.0
lib/android/README.md,165,843,6385,4,6,0,0,0,0,280,1,0,1,5,10,0,1,2,10,32,0,42,0,49,2,0,0,0,125,0,0,0,0,29,4.0
lib/app/README.md,209,1123,7906,6,4,0,0,0,0,373,1,0,0,4,10,0,7,1,26,45,0,45,0,62,9,0,0,1,162,0,0,0,0,51,12.0
lib/core/README.md,47,54,724,1,3,3,3,0,0,55,1,0,0,0,10,0,0,0,0,10,0,7,0,0,0,0,0,0,27,0,0,0,0,0,0.0
lib/gamnit/README.md,64,447,3038,2,0,0,0,0,0,137,1,0,0,3,2,0,1,0,7,17,0,14,0,28,5,0,0,0,59,0,0,0,0,6,2.0
lib/geometry/README.md,57,347,2283,4,0,0,0,0,0,92,1,0,0,0,4,0,4,0,13,23,0,7,0,3,0,0,0,0,37,0,0,0,0,0,0.0
lib/github/README.md,72,122,1135,1,3,5,5,0,0,81,1,0,0,0,14,0,0,0,0,19,0,6,0,1,0,0,0,0,40,0,0,0,0,0,0.0
lib/ios/README.md,34,154,1199,4,0,0,0,0,0,69,1,0,0,0,4,0,1,0,3,11,0,4,0,14,1,0,0,0,30,0,0,0,0,0,0.0
lib/json/README.md,240,1128,7647,2,2,3,0,0,0,187,1,0,0,3,7,0,1,2,9,21,0,28,0,31,0,0,0,0,84,0,0,0,0,156,52.0
lib/markdown/README.md,34,109,1024,0,3,0,0,0,0,43,1,0,0,2,3,0,0,1,2,10,0,1,0,5,0,0,0,0,18,0,0,0,0,4,2.0
