Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/most_forked/jtleek/datasharing.md,193,1955,13086,4,0,5,0,0,0,396,1,0,0,0,9,0,3,7,37,63,0,62,0,8,0,0,24,0,182,0,0,0,0,0,0.0
readmes.out/most_forked/rdpeng/ProgrammingAssignment2.md,106,919,4213,0,0,4,0,0,0,157,1,0,2,0,4,1,0,3,11,21,0,36,0,11,0,0,1,0,66,0,0,0,0,26,13.0
readmes.out/most_forked/octocat/Spoon-Knife.md,10,109,780,0,0,1,0,0,0,26,1,0,0,0,1,0,0,0,0,4,0,0,0,0,3,0,2,0,15,0,0,0,0,0,0.0
readmes.out/most_forked/tensorflow/tensorflow.md,115,539,6210,0,5,2,1,0,0,289,1,0,0,2,8,1,2,0,7,23,1,35,0,3,2,14,35,11,144,0,0,0,0,13,6.0
readmes.out/most_forked/twbs/bootstrap.md,178,874,9497,0,11,2,0,0,0,387,1,0,0,1,13,4,6,1,33,53,0,11,0,23,0,2,64,13,162,0,0,0,0,25,25.0
readmes.out/most_forked/rdpeng/ExData_Plotting1.md,115,525,4254,0,3,4,0,0,0,176,1,0,0,0,7,1,3,0,10,22,0,30,0,9,0,1,1,4,77,0,0,0,0,0,0.0
readmes.out/most_forked/SmartThingsCommunity/SmartThingsPublic.md,16,42,553,1,0,0,0,0,0,33,1,0,0,0,1,0,2,0,6,9,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0.0
readmes.out/most_forked/github/gitignore.md,85,543,3964,1,4,0,0,0,0,179,1,0,0,0,5,0,2,1,12,22,0,27,0,8,3,5,10,0,83,0,0,0,0,0,0.0
readmes.out/most_forked/rdpeng/RepData_PeerAssessment1.md,169,1172,7776,0,4,5,0,0,0,319,1,0,0,1,9,0,2,7,24,43,0,47,0,17,0,14,5,1,148,0,0,0,0,4,4.0
readmes.out/most_forked/angular/angular.js.md,107,774,5942,1,4,0,6,2,0,189,1,0,0,0,13,0,1,0,7,22,2,40,0,4,2,0,7,2,88,0,0,0,0,0,0.0
readmes.out/most_forked/EbookFoundation/free-programming-books.md,91,235,4454,1,2,8,0,0,0,270,1,0,0,0,11,0,7,0,49,57,0,0,0,0,0,0,59,1,85,0,0,0,0,0,0.0
readmes.out/most_forked/DataScienceSpecialization/courses.md,23,53,506,0,0,3,0,0,0,31,1,0,0,0,3,0,1,0,5,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.0
readmes.out/most_forked/udacity/frontend-nanodegree-resume.md,107,1749,8926,1,2,3,0,0,0,241,1,0,4,0,6,0,6,5,36,42,0,3,0,26,0,11,7,1,93,0,0,0,0,42,10.0
readmes.out/most_forked/torvalds/linux.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_forked/tensorflow/models.md,20,160,1320,1,2,0,0,0,0,43,1,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0.0
readmes.out/most_forked/LarryMad/recipes.md,7,26,267,1,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0.0
readmes.out/most_forked/barryclark/jekyll-now.md,121,966,7906,1,8,3,0,0,0,330,1,4,0,0,12,0,4,2,30,54,0,1,12,5,1,4,41,4,155,0,0,0,0,0,0.0
readmes.out/most_forked/jlord/patchwork.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_forked/bitcoin/bitcoin.md,77,377,3351,1,5,2,0,0,0,134,1,0,0,0,8,0,0,0,0,16,0,23,0,3,0,1,12,1,69,0,0,0,0,0,0.0
readmes.out/most_forked/d3/d3.md,58,194,2293,1,2,0,0,0,0,90,1,0,0,7,3,0,1,0,5,14,0,0,0,3,0,2,13,0,38,0,0,0,0,14,2.0
readmes.out/most_forked/spring-projects/spring-boot.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_forked/facebook/react.md,77,540,5196,1,4,4,0,0,0,172,1,0,0,1,9,0,3,0,12,27,0,0,1,1,0,3,31,5,78,0,0,0,0,11,11.0
readmes.out/most_forked/jwasham/coding-interview-university.md,1973,19201,141590,1,34,69,0,0,0,6559,1,1,7,0,104,0,309,1,1420,1454,6,79,0,7,2,28,872,2,2266,0,0,0,0,26,3.0
readmes.out/most_forked/opencv/opencv.md,21,59,664,0,1,2,1,0,0,54,1,0,0,0,4,0,2,0,9,10,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0.0
readmes.out/most_forked/nightscout/cgm-remote-monitor.md,555,5638,38888,4,9,8,6,28,0,1963,1,0,2,4,55,3,38,2,209,281,0,26,0,479,6,6,110,9,732,0,0,0,0,45,7.0
readmes.out/most_forked/apache/spark.md,106,472,3916,1,9,0,0,0,0,153,1,0,8,0,10,0,0,0,0,22,0,25,0,3,0,0,11,0,73,0,0,0,0,16,2.0
