Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/most_stared/freeCodeCamp/freeCodeCamp.md,127,768,6778,0,1,7,8,0,0,285,1,0,0,0,16,0,9,0,39,57,0,11,0,1,0,6,20,6,113,0,0,0,0,0,0.0
readmes.out/most_stared/twbs/bootstrap.md,178,874,9497,0,11,2,0,0,0,387,1,0,0,1,13,4,6,1,33,53,0,11,0,23,0,2,64,13,162,0,0,0,0,25,25.0
readmes.out/most_stared/EbookFoundation/free-programming-books.md,91,235,4454,1,2,8,0,0,0,270,1,0,0,0,11,0,7,0,49,57,0,0,0,0,0,0,59,1,85,0,0,0,0,0,0.0
readmes.out/most_stared/vuejs/vue.md,275,1621,14692,0,9,0,2,0,0,239,1,0,0,0,11,14,2,0,6,22,1,14,0,2,0,2,33,8,99,0,0,0,0,0,0.0
readmes.out/most_stared/facebook/react.md,77,540,5196,1,4,4,0,0,0,172,1,0,0,1,9,0,3,0,12,27,0,0,1,1,0,3,31,5,78,0,0,0,0,11,11.0
readmes.out/most_stared/tensorflow/tensorflow.md,115,539,6210,0,5,2,1,0,0,289,1,0,0,2,8,1,2,0,7,23,1,35,0,3,2,14,35,11,144,0,0,0,0,13,6.0
readmes.out/most_stared/sindresorhus/awesome.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/getify/You-Dont-Know-JS.md,58,440,5132,1,6,0,0,0,0,161,1,0,0,0,7,0,1,0,6,22,0,5,0,0,0,3,19,1,70,0,0,0,0,0,0.0
readmes.out/most_stared/d3/d3.md,58,194,2293,1,2,0,0,0,0,90,1,0,0,7,3,0,1,0,5,14,0,0,0,3,0,2,13,0,38,0,0,0,0,14,2.0
readmes.out/most_stared/airbnb/javascript.md,3857,21652,121052,2,40,0,0,0,0,4423,1,62,0,145,42,2,178,2,408,684,0,26,0,270,2,177,551,19,1298,0,0,0,0,2480,17.0
readmes.out/most_stared/robbyrussell/oh-my-zsh.md,252,1172,9318,0,11,9,7,5,0,347,1,0,0,16,32,1,3,0,8,56,0,0,0,31,7,3,21,2,166,0,0,0,0,44,2.0
readmes.out/most_stared/github/gitignore.md,85,543,3964,1,4,0,0,0,0,179,1,0,0,0,5,0,2,1,12,22,0,27,0,8,3,5,10,0,83,0,0,0,0,0,0.0
readmes.out/most_stared/facebook/react-native.md,81,652,5994,1,5,3,0,0,0,211,1,0,0,0,9,0,4,0,16,32,6,0,0,5,0,8,31,3,94,0,0,0,0,0,0.0
readmes.out/most_stared/jwasham/coding-interview-university.md,1973,19201,141590,1,34,69,0,0,0,6559,1,1,7,0,104,0,309,1,1420,1454,6,79,0,7,2,28,872,2,2266,0,0,0,0,26,3.0
readmes.out/most_stared/electron/electron.md,99,337,4335,0,7,1,0,0,0,187,1,0,0,3,8,0,2,0,7,22,0,21,0,4,0,1,28,5,85,0,0,0,0,16,5.0
readmes.out/most_stared/torvalds/linux.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/angular/angular.js.md,107,774,5942,1,4,0,6,2,0,189,1,0,0,0,13,0,1,0,7,22,2,40,0,4,2,0,7,2,88,0,0,0,0,0,0.0
readmes.out/most_stared/FortAwesome/Font-Awesome.md,120,559,5313,0,8,1,0,0,0,280,1,1,0,0,9,1,7,0,29,49,0,27,0,7,0,3,32,0,114,0,0,0,0,0,0.0
readmes.out/most_stared/Microsoft/vscode.md,55,291,3587,1,4,0,0,0,0,146,1,0,0,0,5,1,3,0,13,23,0,5,0,1,0,0,26,3,65,0,0,0,0,0,0.0
readmes.out/most_stared/daneden/animate.css.md,234,1465,8711,1,6,0,0,0,0,349,1,0,0,15,7,1,0,2,3,26,0,20,0,86,3,1,15,6,163,0,0,0,0,112,7.0
readmes.out/most_stared/vinta/awesome-python.md,1344,9274,92091,5,91,0,0,0,0,4902,1,0,0,0,96,0,152,0,870,962,2,0,0,3,84,2,879,1,1850,0,0,0,0,0,0.0
readmes.out/most_stared/kamranahmedse/developer-roadmap.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/facebook/create-react-app.md,249,1192,16006,1,11,7,0,0,0,588,1,0,0,6,19,2,7,0,66,101,0,11,0,17,4,19,81,1,242,0,0,0,0,30,5.0
readmes.out/most_stared/nodejs/node.md,637,2106,28543,1,6,9,3,0,0,2086,1,0,0,5,19,1,16,0,206,241,0,261,0,17,10,182,213,0,914,0,0,0,0,17,3.0
readmes.out/most_stared/moby/moby.md,58,476,3395,3,3,0,0,0,0,84,1,0,0,0,6,0,1,0,4,16,1,13,0,0,1,0,2,1,38,0,0,0,0,0,0.0
readmes.out/most_stared/jquery/jquery.md,378,1560,13291,1,10,11,1,1,0,611,1,0,0,31,24,0,5,1,37,87,0,16,0,85,3,32,19,1,269,0,0,0,0,90,2.0
readmes.out/most_stared/atom/atom.md,82,405,4581,0,5,5,0,0,0,201,1,0,0,0,10,0,3,1,10,31,0,7,0,11,0,0,27,6,94,0,0,0,0,0,0.0
readmes.out/most_stared/apple/swift.md,292,1474,14895,1,5,7,6,0,0,606,1,0,18,0,19,1,1,0,6,59,0,91,0,20,1,27,49,15,298,0,0,0,0,46,2.0
readmes.out/most_stared/laravel/laravel.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
