Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/random1/elevationsoftware/face_recognition.md,316,1293,13951,1,9,0,5,6,0,438,1,0,0,12,21,0,4,0,17,72,0,44,0,31,0,0,34,10,192,0,0,0,0,75,6.0
readmes.out/random1/dhrobinson/Sharc.md,3,6,35,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/liushichaott/app.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/schandek/datasharing.md,191,1911,12688,4,0,5,0,0,0,383,1,0,0,0,9,0,3,7,36,62,0,61,0,8,0,0,21,0,175,0,0,0,0,0,0.0
readmes.out/random1/ailylab-kamijima/test_tutorial.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/deepm/deepm.github.io.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/jpiepkow/function-timer.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/KishorGhosh/My-Css.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/target3ds1988/OpenCOLLADA.md,62,424,4085,0,5,0,0,0,0,159,1,0,0,0,5,0,3,3,25,34,0,2,0,5,2,0,15,0,64,0,0,0,0,0,0.0
readmes.out/random1/axitmehta/THT.md,3,2,72,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/fatdai/hl-line-plus.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/Sala6460/excpetional-realty-.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/betsyweilin/OSCC.md,184,1289,9332,0,7,0,0,0,0,243,1,0,0,0,7,1,1,0,6,79,0,3,0,25,1,15,10,0,94,0,0,0,0,0,0.0
readmes.out/random1/kevanescence/server-install.md,3,5,49,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/sobah/groundwork-master.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/flabio-team/uniMail.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/github-cloud/docker-netbeans.md,4,3,81,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/AdamMcWilliam/KurrencyKonverter.md,3,1,36,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/vaniakosmos/data-mining-practice.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/thiagoa/your-weekly.md,30,105,751,1,2,0,0,0,0,41,1,0,2,0,3,0,1,0,3,9,0,4,0,1,0,0,0,0,17,0,0,0,0,5,2.0
readmes.out/random1/MindMC/gh-pages.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/hydrosh/Scuola.md,2,2,9,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/02action/new-Dokio.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/kg1990/classship.md,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
readmes.out/random1/alycarter/BirdGame.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/bhavyaab/03-parallel-file-processing.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/vrwebdesign/SB-Admin-BS4-Angular-4.md,58,250,2244,1,1,6,0,0,0,108,1,0,0,1,8,0,1,0,8,20,0,1,0,7,0,2,8,0,51,0,0,0,0,10,10.0
readmes.out/random1/welsonplay/PdfScribe.md,1,201,1473,1,5,0,0,0,0,84,1,0,0,0,6,0,4,0,12,17,0,0,0,0,2,6,1,0,35,0,0,0,0,0,0.0
readmes.out/random1/xkenneth/dontpaythestateold.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/chxiaowu/fabric.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
